IRI Profile on 20100101 0200 UT 
Altitude, Ne[m^-3], Ti[K],Te[K]
475.00,4.315e+10,1550.56,2177.43
476.00,4.281e+10,1553.17,2181.81
477.00,4.248e+10,1555.78,2186.20
478.00,4.215e+10,1558.40,2190.58
479.00,4.183e+10,1561.01,2194.96
480.00,4.150e+10,1563.62,2199.34
481.00,4.118e+10,1566.23,2203.73
482.00,4.086e+10,1568.84,2208.11
483.00,4.055e+10,1571.45,2212.49
484.00,4.024e+10,1574.06,2216.87
485.00,3.993e+10,1576.67,2221.25
486.00,3.963e+10,1579.28,2225.63
487.00,3.932e+10,1581.88,2230.01
488.00,3.902e+10,1584.49,2234.39
489.00,3.873e+10,1587.10,2238.76
490.00,3.843e+10,1589.71,2243.14
491.00,3.814e+10,1592.32,2247.52
492.00,3.786e+10,1594.93,2251.89
493.00,3.757e+10,1597.53,2256.27
494.00,3.729e+10,1600.14,2260.64
495.00,3.701e+10,1602.75,2265.01
496.00,3.673e+10,1605.35,2269.39
497.00,3.646e+10,1607.96,2273.76
498.00,3.619e+10,1610.57,2278.12
499.00,3.592e+10,1613.18,2282.49
